# SOCKS5 代理列表
# 更新时间: 2026-09-20 04:24:58 (北京时间)
# 总数: 359
# 格式: socks5://IP:PORT


# Canada - 3 个代理
socks5://57.128.231.218:1001 # Score: 53.0, RT: 0.99s

# Switzerland - 3 个代理
socks5://185.195.71.218:18080 # Score: 53.0, RT: 0.83s
socks5://5.75.133.113:10802 # Score: 43.0, RT: 2.23s
socks5://213.171.26.67:8008 # Score: 38.0, RT: 3.48s

# Taiwan - 4 个代理
socks5://45.74.31.25:4608 # Score: 55.0, RT: 1.33s
socks5://45.74.31.42:5611 # Score: 50.0, RT: 2.87s
socks5://45.74.31.42:6815 # Score: 45.0, RT: 4.51s
socks5://45.74.31.42:6043 # Score: 45.0, RT: 4.53s

# United Kingdom - 17 个代理
socks5://185.87.255.54:1080 # Score: 60.0, RT: 0.70s
socks5://192.252.210.233:4145 # Score: 60.0, RT: 0.38s
socks5://45.74.31.30:4558 # Score: 60.0, RT: 0.65s
socks5://45.74.31.25:4396 # Score: 55.0, RT: 1.46s
socks5://3.10.170.234:3128 # Score: 55.0, RT: 0.51s
socks5://45.74.31.23:15955 # Score: 55.0, RT: 1.52s
socks5://45.74.31.30:5182 # Score: 55.0, RT: 1.31s
socks5://45.74.31.23:15482 # Score: 50.0, RT: 2.82s
socks5://45.74.31.23:16668 # Score: 50.0, RT: 2.09s
socks5://45.74.31.30:4823 # Score: 50.0, RT: 2.46s
socks5://45.74.31.25:4590 # Score: 45.0, RT: 3.55s
socks5://45.74.31.30:5529 # Score: 45.0, RT: 3.70s
socks5://45.74.31.23:15471 # Score: 45.0, RT: 3.41s
socks5://45.74.31.30:5377 # Score: 45.0, RT: 3.75s
socks5://45.74.31.23:15758 # Score: 45.0, RT: 3.48s
socks5://45.74.31.23:15724 # Score: 45.0, RT: 4.00s
socks5://45.74.31.30:4568 # Score: 40.0, RT: 5.05s

# United States - 243 个代理
socks5://93.127.133.109:1082 # Score: 60.0, RT: 0.20s
socks5://67.201.39.14:4145 # Score: 60.0, RT: 0.39s
socks5://192.252.209.158:4145 # Score: 60.0, RT: 0.40s
socks5://192.111.135.17:18302 # Score: 60.0, RT: 0.38s
socks5://72.206.74.126:4145 # Score: 60.0, RT: 0.51s
socks5://192.111.138.29:4145 # Score: 60.0, RT: 0.38s
socks5://199.102.106.94:4145 # Score: 60.0, RT: 0.47s
socks5://68.71.243.14:4145 # Score: 60.0, RT: 0.38s
socks5://98.170.57.241:4145 # Score: 60.0, RT: 0.50s
socks5://199.102.105.242:4145 # Score: 60.0, RT: 0.38s
socks5://45.74.31.23:5665 # Score: 60.0, RT: 0.71s
socks5://184.181.217.210:4145 # Score: 60.0, RT: 0.49s
socks5://72.195.34.59:4145 # Score: 60.0, RT: 0.67s
socks5://98.175.31.195:4145 # Score: 60.0, RT: 0.50s
socks5://192.252.215.5:16137 # Score: 60.0, RT: 0.38s
socks5://184.170.249.65:4145 # Score: 60.0, RT: 0.38s
socks5://142.54.226.214:4145 # Score: 60.0, RT: 0.38s
socks5://174.64.199.82:4145 # Score: 60.0, RT: 0.51s
socks5://174.75.211.222:4145 # Score: 60.0, RT: 0.51s
socks5://142.54.237.34:4145 # Score: 60.0, RT: 0.38s
socks5://68.1.210.189:4145 # Score: 60.0, RT: 0.50s
socks5://192.111.135.18:18301 # Score: 60.0, RT: 0.38s
socks5://184.178.172.26:4145 # Score: 60.0, RT: 0.49s
socks5://98.191.0.37:4145 # Score: 60.0, RT: 0.50s
socks5://192.111.134.10:4145 # Score: 60.0, RT: 0.38s
socks5://192.111.137.37:18762 # Score: 60.0, RT: 0.38s
socks5://107.167.18.122:443 # Score: 60.0, RT: 0.33s
socks5://172.86.88.139:1080 # Score: 60.0, RT: 0.17s
socks5://98.175.31.222:4145 # Score: 60.0, RT: 0.50s
socks5://192.111.139.163:19404 # Score: 60.0, RT: 0.38s
socks5://68.71.249.153:48606 # Score: 60.0, RT: 0.38s
socks5://184.182.240.12:4145 # Score: 60.0, RT: 0.57s
socks5://192.111.129.145:16894 # Score: 60.0, RT: 0.44s
socks5://174.77.111.197:4145 # Score: 60.0, RT: 0.50s
socks5://192.252.208.67:14287 # Score: 60.0, RT: 0.38s
socks5://192.252.211.197:14921 # Score: 60.0, RT: 0.40s
